# Sweep MEMS Completo a VDC=4.0V (128 Medie) - 20260908_130623
"# VDC_target=4.0 V, VDC_meas=4.004 V, IDC_meas=-0.13 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
229,417728.000,417728.000,9.250000e-02,1.034000e+00,1.117838e+01,20.968,69.800
230,417730.667,417730.667,9.310000e-02,1.031000e+00,1.107411e+01,20.886,69.600
231,417733.333,417733.333,9.290000e-02,1.029000e+00,1.107643e+01,20.888,69.300
232,417736.000,417736.000,9.280000e-02,1.036000e+00,1.116379e+01,20.956,69.300
233,417738.667,417738.667,9.300000e-02,1.027000e+00,1.104301e+01,20.862,69.700
234,417741.333,417741.333,9.300000e-02,1.032000e+00,1.109677e+01,20.904,68.900
235,417744.000,417744.000,9.290000e-02,1.037000e+00,1.116254e+01,20.955,70.100
236,417746.667,417746.667,9.300000e-02,1.034000e+00,1.111828e+01,20.921,69.000
237,417749.333,417749.333,9.290000e-02,1.026000e+00,1.104413e+01,20.863,70.900
238,417752.000,417752.000,9.290000e-02,1.032000e+00,1.110872e+01,20.913,70.200
239,417754.667,417754.667,9.280000e-02,1.039000e+00,1.119612e+01,20.981,69.500
240,417757.333,417757.333,9.260000e-02,1.038000e+00,1.120950e+01,20.992,69.300
241,417760.000,417760.000,9.290000e-02,1.031000e+00,1.109795e+01,20.905,70.600
242,417762.667,417762.667,9.280000e-02,1.040000e+00,1.120690e+01,20.990,70.600
243,417765.333,417765.333,9.280000e-02,1.030000e+00,1.109914e+01,20.906,70.100
244,417768.000,417768.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,69.000
245,417770.667,417770.667,9.290000e-02,1.033000e+00,1.111948e+01,20.922,70.100
246,417773.333,417773.333,9.290000e-02,1.031000e+00,1.109795e+01,20.905,69.900
247,417776.000,417776.000,9.280000e-02,1.031000e+00,1.110991e+01,20.914,70.800
248,417778.667,417778.667,9.280000e-02,1.034000e+00,1.114224e+01,20.939,69.900
249,417781.333,417781.333,9.330000e-02,1.036000e+00,1.110397e+01,20.910,70.700
250,417784.000,417784.000,9.280000e-02,1.032000e+00,1.112069e+01,20.923,70.400
251,417786.667,417786.667,9.290000e-02,1.036000e+00,1.115178e+01,20.947,69.900
252,417789.333,417789.333,9.290000e-02,1.034000e+00,1.113025e+01,20.930,69.700
253,417792.000,417792.000,9.270000e-02,1.042000e+00,1.124056e+01,21.016,70.400
254,417794.667,417794.667,9.330000e-02,1.038000e+00,1.112540e+01,20.926,69.300
255,417797.333,417797.333,9.270000e-02,1.034000e+00,1.115426e+01,20.949,69.700
256,417800.000,417800.000,9.270000e-02,1.040000e+00,1.121899e+01,20.999,70.600
257,417802.667,417802.667,9.300000e-02,1.032000e+00,1.109677e+01,20.904,70.100
258,417805.333,417805.333,9.300000e-02,1.032000e+00,1.109677e+01,20.904,70.200
259,417808.000,417808.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957,70.400
260,417810.667,417810.667,9.290000e-02,1.035000e+00,1.114101e+01,20.938,69.100
261,417813.333,417813.333,9.320000e-02,1.044000e+00,1.120172e+01,20.986,71.100
262,417816.000,417816.000,9.300000e-02,1.035000e+00,1.112903e+01,20.929,69.200
263,417818.667,417818.667,9.270000e-02,1.039000e+00,1.120820e+01,20.991,69.800
264,417821.333,417821.333,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.600
265,417824.000,417824.000,9.310000e-02,1.042000e+00,1.119227e+01,20.978,70.100
266,417826.667,417826.667,9.260000e-02,1.036000e+00,1.118790e+01,20.975,69.500
267,417829.333,417829.333,9.320000e-02,1.043000e+00,1.119099e+01,20.977,69.900
268,417832.000,417832.000,9.310000e-02,1.032000e+00,1.108485e+01,20.895,69.600
269,417834.667,417834.667,9.270000e-02,1.039000e+00,1.120820e+01,20.991,69.600
270,417837.333,417837.333,9.280000e-02,1.033000e+00,1.113147e+01,20.931,69.600
271,417840.000,417840.000,9.270000e-02,1.041000e+00,1.122977e+01,21.007,71.000
272,417842.667,417842.667,9.290000e-02,1.032000e+00,1.110872e+01,20.913,69.900
273,417845.333,417845.333,9.310000e-02,1.041000e+00,1.118153e+01,20.970,70.300
274,417848.000,417848.000,9.320000e-02,1.046000e+00,1.122318e+01,21.002,70.400
275,417850.667,417850.667,9.290000e-02,1.036000e+00,1.115178e+01,20.947,70.200
276,417853.333,417853.333,9.310000e-02,1.035000e+00,1.111708e+01,20.920,68.300
277,417856.000,417856.000,9.330000e-02,1.036000e+00,1.110397e+01,20.910,69.200
